C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_48_773.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_48_773.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_48_773.jpg,0,0,0,5.44997E-05
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_48_843.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_48_843.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_48_843.jpg,0,0,0,5.443556E-05
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_48_910.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_48_910.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_48_910.jpg,0,0,0,5.44146E-05
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_48_979.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_48_979.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_48_979.jpg,0,0,0,5.424118E-05
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_49_049.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_49_049.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_49_049.jpg,0,0,0,5.46804E-05
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_49_119.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_49_119.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_49_119.jpg,0,0,0,5.448546E-05
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_49_189.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_49_189.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_49_189.jpg,0,0.0908337,0,0.01845193
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_49_262.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_49_262.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_49_262.jpg,0,0.3057195,0,0.2243143
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_49_336.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_49_336.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_49_336.jpg,0,0.5555898,0,0.6604598
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_49_405.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_49_405.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_49_405.jpg,0,0.7411191,0,1.118208
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_49_480.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_49_480.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_49_480.jpg,0,0.9931939,0,1.981982
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_49_550.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_49_550.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_49_550.jpg,0,1,0,2.715241
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_49_621.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_49_621.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_49_621.jpg,-0.1,1,0,3.649766
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_49_690.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_49_690.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_49_690.jpg,-0.25,1,0,4.347369
C:\Users\benbi\Desktop\data\IMG\center_2020_04_27_15_54_49_763.jpg,C:\Users\benbi\Desktop\data\IMG\left_2020_04_27_15_54_49_763.jpg,C:\Users\benbi\Desktop\data\IMG\right_2020_04_27_15_54_49_763.jpg,-0.02370629,1,0,5.276867
